X (ms);C0:2169[0];C1:2521[0];C2:70[0];C3:80[0]
-49,875000;-0,000071;100000,000000;583,100037;-23,126585
-49,687500;-0,000036;100000,000000;585,400024;-25,270880
-49,500000;-0,000080;100000,000000;585,500000;-22,433901
-49,312500;-0,000124;100000,000000;583,800049;-23,522146
-49,125000;-0,000104;100000,000000;585,500000;-22,037884
-48,937500;-0,000022;100000,000000;585,500000;-24,710203
-48,750000;0,000011;100000,000000;585,450012;-20,091368
-48,562500;0,000086;100000,000000;590,300049;-23,159245
-48,375000;-0,000082;100000,000000;585,400024;-21,048065
-48,187500;0,000048;100000,000000;582,950012;-27,415638
-48,000000;-0,000003;100000,000000;585,300049;-19,827356
-47,812500;0,000032;100000,000000;585,300049;-24,974213
-47,625000;-0,000182;100000,000000;585,349976;-21,278963
-47,437500;-0,000060;100000,000000;585,200012;-23,819277
-47,250000;-0,000070;100000,000000;585,349976;-22,532789
-47,062500;0,000122;100000,000000;582,950012;-25,138876
-46,875000;-0,000065;100000,000000;585,450012;-24,017515
-46,687500;0,000017;100000,000000;585,400024;-21,872761
-46,500000;0,000068;100000,000000;586,200012;-27,976776
-46,312500;0,000091;100000,000000;587,850037;-22,730572
-46,125000;-0,000100;100000,000000;585,450012;-23,885509
-45,937500;0,000201;100000,000000;585,400024;-24,017054
-45,750000;-0,000133;100000,000000;585,450012;-25,007328
-45,562500;0,000213;100000,000000;586,150024;-23,060356
-45,375000;0,000002;100000,000000;585,450012;-22,367668
-45,187500;-0,000034;100000,000000;587,799988;-24,710203
-45,000000;-0,000038;100000,000000;585,400024;-24,743317
-44,812500;0,000063;100000,000000;585,450012;-22,301434
-44,625000;-0,000108;100000,000000;587,849976;-24,248409
-44,437500;0,000031;100000,000000;582,950012;-21,971649
-44,250000;0,000018;100000,000000;585,349976;-23,951281
-44,062500;0,000155;100000,000000;585,400024;-25,930912
-43,875000;-0,000193;100000,000000;585,450012;-24,875324
-43,687500;0,000197;100000,000000;585,450012;-23,060356
-43,500000;-0,000073;100000,000000;585,450012;-22,301895
-43,312500;-0,000011;100000,000000;587,950012;-27,151623
-43,125000;-0,000031;100000,000000;587,950012;-23,753502
-42,937500;0,000006;100000,000000;585,450012;-22,862576
-42,750000;-0,000124;100000,000000;585,550049;-22,103653
-42,562500;-0,000024;100000,000000;586,150024;-26,326933
-42,375000;-0,000061;100000,000000;585,450012;-22,301895
-42,187500;0,000001;100000,000000;585,400024;-23,720385
-42,000000;-0,000130;100000,000000;585,349976;-24,644430
-41,812500;-0,000133;100000,000000;587,800049;-23,852392
-41,625000;-0,000167;100000,000000;585,349976;-21,806988
-41,437500;-0,000037;100000,000000;585,299988;-24,809090
-41,250000;-0,000162;100000,000000;585,350037;-23,720385
-41,062500;0,000090;100000,000000;585,349976;-22,532330
